patch_name,scene_id,left,top,right,bottom,roi_left,roi_top,roi_right,roi_bottom
SAMPLE_097_x399_y26,SAMPLE_097,399,26,655,282,399,26,1548,1146
SAMPLE_097_x591_y26,SAMPLE_097,591,26,847,282,399,26,1548,1146
SAMPLE_097_x783_y26,SAMPLE_097,783,26,1039,282,399,26,1548,1146
SAMPLE_097_x975_y26,SAMPLE_097,975,26,1231,282,399,26,1548,1146
SAMPLE_097_x1167_y26,SAMPLE_097,1167,26,1423,282,399,26,1548,1146
SAMPLE_097_x1292_y26,SAMPLE_097,1292,26,1548,282,399,26,1548,1146
SAMPLE_097_x399_y218,SAMPLE_097,399,218,655,474,399,26,1548,1146
SAMPLE_097_x591_y218,SAMPLE_097,591,218,847,474,399,26,1548,1146
SAMPLE_097_x783_y218,SAMPLE_097,783,218,1039,474,399,26,1548,1146
SAMPLE_097_x975_y218,SAMPLE_097,975,218,1231,474,399,26,1548,1146
SAMPLE_097_x1167_y218,SAMPLE_097,1167,218,1423,474,399,26,1548,1146
SAMPLE_097_x1292_y218,SAMPLE_097,1292,218,1548,474,399,26,1548,1146
SAMPLE_097_x399_y410,SAMPLE_097,399,410,655,666,399,26,1548,1146
SAMPLE_097_x591_y410,SAMPLE_097,591,410,847,666,399,26,1548,1146
SAMPLE_097_x783_y410,SAMPLE_097,783,410,1039,666,399,26,1548,1146
SAMPLE_097_x975_y410,SAMPLE_097,975,410,1231,666,399,26,1548,1146
SAMPLE_097_x1167_y410,SAMPLE_097,1167,410,1423,666,399,26,1548,1146
SAMPLE_097_x1292_y410,SAMPLE_097,1292,410,1548,666,399,26,1548,1146
SAMPLE_097_x399_y602,SAMPLE_097,399,602,655,858,399,26,1548,1146
SAMPLE_097_x591_y602,SAMPLE_097,591,602,847,858,399,26,1548,1146
SAMPLE_097_x783_y602,SAMPLE_097,783,602,1039,858,399,26,1548,1146
SAMPLE_097_x975_y602,SAMPLE_097,975,602,1231,858,399,26,1548,1146
SAMPLE_097_x1167_y602,SAMPLE_097,1167,602,1423,858,399,26,1548,1146
SAMPLE_097_x1292_y602,SAMPLE_097,1292,602,1548,858,399,26,1548,1146
SAMPLE_097_x399_y794,SAMPLE_097,399,794,655,1050,399,26,1548,1146
SAMPLE_097_x591_y794,SAMPLE_097,591,794,847,1050,399,26,1548,1146
SAMPLE_097_x783_y794,SAMPLE_097,783,794,1039,1050,399,26,1548,1146
SAMPLE_097_x975_y794,SAMPLE_097,975,794,1231,1050,399,26,1548,1146
SAMPLE_097_x1167_y794,SAMPLE_097,1167,794,1423,1050,399,26,1548,1146
SAMPLE_097_x1292_y794,SAMPLE_097,1292,794,1548,1050,399,26,1548,1146
SAMPLE_097_x399_y890,SAMPLE_097,399,890,655,1146,399,26,1548,1146
SAMPLE_097_x591_y890,SAMPLE_097,591,890,847,1146,399,26,1548,1146
SAMPLE_097_x783_y890,SAMPLE_097,783,890,1039,1146,399,26,1548,1146
SAMPLE_097_x975_y890,SAMPLE_097,975,890,1231,1146,399,26,1548,1146
SAMPLE_097_x1167_y890,SAMPLE_097,1167,890,1423,1146,399,26,1548,1146
SAMPLE_097_x1292_y890,SAMPLE_097,1292,890,1548,1146,399,26,1548,1146
SAMPLE_098_x385_y0,SAMPLE_098,385,0,641,256,385,0,1559,1112
SAMPLE_098_x577_y0,SAMPLE_098,577,0,833,256,385,0,1559,1112
SAMPLE_098_x769_y0,SAMPLE_098,769,0,1025,256,385,0,1559,1112
SAMPLE_098_x961_y0,SAMPLE_098,961,0,1217,256,385,0,1559,1112
SAMPLE_098_x1153_y0,SAMPLE_098,1153,0,1409,256,385,0,1559,1112
SAMPLE_098_x1303_y0,SAMPLE_098,1303,0,1559,256,385,0,1559,1112
SAMPLE_098_x385_y192,SAMPLE_098,385,192,641,448,385,0,1559,1112
SAMPLE_098_x577_y192,SAMPLE_098,577,192,833,448,385,0,1559,1112
SAMPLE_098_x769_y192,SAMPLE_098,769,192,1025,448,385,0,1559,1112
SAMPLE_098_x961_y192,SAMPLE_098,961,192,1217,448,385,0,1559,1112
SAMPLE_098_x1153_y192,SAMPLE_098,1153,192,1409,448,385,0,1559,1112
SAMPLE_098_x1303_y192,SAMPLE_098,1303,192,1559,448,385,0,1559,1112
SAMPLE_098_x385_y384,SAMPLE_098,385,384,641,640,385,0,1559,1112
SAMPLE_098_x577_y384,SAMPLE_098,577,384,833,640,385,0,1559,1112
